ready	folder	essay	thumbnail	manifest	height	width	format	iiif-url	attribution	source	author	description	license	label	url	attribution-url
		about													https://iiif.juncture-digital.org/thumbnail?url=https://raw.githubusercontent.com/kent-map/kent/main/images/MartinWatts (2).JPG	
		about													https://iiif.juncture-digital.org/thumbnail?url=https://raw.githubusercontent.com/kent-map/kent/main/images/charlieworthington.jpg	
		about													https://iiif.juncture-digital.org/thumbnail?url=https://raw.githubusercontent.com/kent-map/kent/main/images/kaitlyncowling.jpg	
		about													https://iiif.juncture-digital.org/thumbnail?url=https://raw.githubusercontent.com/kent-map/kent/main/images/heathermurdoch.jpg	
	music	19c-william-longhust-biography													/music/images/callcott.jpg	
	music	index													https://iiif.juncture-digital.org/thumbnail?url=https://raw.githubusercontent.com/kent-map/kent/main/music/images/Summer.jpg	
	music	index													https://iiif.juncture-digital.org/thumbnail?url=https://raw.githubusercontent.com/kent-map/kent/main/music/images/Beaney copy - Scaled and adjusted.jpg	
	music	index													https://iiif.juncture-digital.org/thumbnail?url=https://raw.githubusercontent.com/kent-map/kent/main/music/images/cathedralimage.jpg	
	music	19c-music-canterbury													images/Beaney copy - Scaled and adjusted.jpg	
		19c-collins-biography							Elliott & Fry, Public domain, via Wikimedia Commons					Wilkie Collins, 1871 - Elliott & Fry, Public domain, via Wikimedia Commons	https://upload.wikimedia.org/wikipedia/commons/b/b6/Wilkie_Collins%2C_1871.jpg	
		19c-collins-biography							Hatofthecat, CC BY-SA 3.0 via Wikimedia Commons					North Foreland Lighthouse	https://upload.wikimedia.org/wikipedia/commons/8/84/North_Foreland_Lighthouse_about_1880.jpg	
		19c-collins-biography							Unknown author, Public domain, via Wikimedia Commons					The Barbican, Sandwich	https://upload.wikimedia.org/wikipedia/commons/d/dc/1904-08-20_front_The_Barbican_Sandwich_Kent.jpg	
		19c-conrad-biography												Bishopsbourne Village Hall Memorial Plaque © Martin Crowther	images/Bishopsbourne Village Hall - memorial plaque to Conrad 3 MJC.jpg	
		19c-conrad-biography												The Erebus and Terror among Icebergs in Dr Hartwig's The Polar World, 1886	images/ErebusandTerror.jpg	
		19c-conrad-biography												The Otago, Unknown author, Public domain, via Wikimedia Commons	https://upload.wikimedia.org/wikipedia/commons/e/e1/Otago_bark_1869.jpg	
		19c-conrad-biography												Oswalds © Martin Crowther	images/Rear of Oswalds - Bishopsbourne MJC.jpg	
		19c-conrad-biography												Joseph Conrad's grave © Kate Davies	images/conradgrave.jpg	
		19c-conrad-biography												Joseph Conrad's grave © Kate Davies	images/conradgrave.jpg	
	19c	19c-grand-biography													https://upload.wikimedia.org/wikipedia/commons/a/aa/Sarah_Grand_profile.jpg	
	19c	19c-grand-biography													images/SG passport.jpeg	
	19c	19c-jamesh-hever-castle													images/697px-Cox-Jnr-98093_-_Hever_Castle_from_the_Moat_-_circa_1850.jpg	
	19c	19c-hoodening													images/jacqueline.jpg	
	19c	19c-hoodening													images/hoodeners.jpg	
	19c	19c-hoodening													images/Hoodenhorse.jpg	
	19c	19c-shelleym-biography													images/Perkin Warbeck.jpg	
	19c	19c-barr-biography													images/Robert_Barr.jpg	
		19c-jordan-biography							© National Portrait Gallery, London					Dorothy Jordan as Lucy in 'The Virgin Unmasked' by Unknown artist, line engraving, published 1787 NPG D4418	images/Dorothy-Jordan-as-Lucy-in-The-Virgin-Unmasked.jpg	
		19c-jordan-biography							David Anstiss/ Theatre Royal, Margate					Theatre Royal, Margate	https://upload.wikimedia.org/wikipedia/commons/3/3b/Theatre_Royal%2C_Margate-geograph.org.uk-2281466.jpg	
		19c-jordan-biography							© National Portrait Gallery, London					King William IV by Sir Martin Archer Shee oil on canvas, circa 1800. NPG 2199	images/King-William-IV.jpg	
		19c-jordan-biography							© Martin Crowther					Site of Mrs Baker's Canterbury Theatre	images/orangestreet MJC.jpg	
		19c-jordan-biography							© National Portrait Gallery, London					Dorothy Jordan in the character of the 'Country Girl' by John Ogborne, after George Romney stipple engraving, published 24 June 1788 NPG D8045	images/Dorothy-Jordan-in-the-character-of-the-Country-Girl.jpg	
		19c-jordan-biography												Bettison's Library, Hawley Square, Margate, 1820	images/Bettison's Library, Hawley Square, Margate, 1820.jpg	
		19c-jordan-biography							© Martin Crowther					A theatre print of Mrs Jordan	images/jordan.JPG	
		19c-jordan-biography							Drawn by G.Shepherd					Snargate St Dover c.1830	/dickens/images/Snargate St Dover 1830.jpg	
	19c	19c-shore-biography													images/Margaret_Emily_Shore_engraving.jpg	
		19c-christian-andersen							Public domain, via Wikimedia Commons					Hans_Christian_Andersen by Thora Hallager (1821–1884)	images/HCA_by_Thora_Hallager_1869.jpg	
		19c-christian-andersen							Michael Coppins, CC BY-SA 4.0, via Wikimedia Commons					Rochester Castle from the east.jpg	https://upload.wikimedia.org/wikipedia/commons/d/d6/Rochester_Castle_from_the_east.jpg	
		19c-christian-andersen							Crico at English Wikipedia, Public domain, via Wikimedia Commons					Gads Hill Villa.jpg	https://upload.wikimedia.org/wikipedia/commons/e/ef/Gads_Hill_Villa.jpg	
		19c-christian-andersen							 Knowle Lake by Derek Harper, CC BY-SA 2.0, via Wikimedia Commons					Knowle Lake - geograph.org.uk - 1843108.jpg	https://upload.wikimedia.org/wikipedia/commons/4/47/Knowle_Lake_-_geograph.org.uk_-_1843108.jpg	
		19c-christian-andersen							Ian Capper, CC BY-SA 2.0, via Wikimedia Commons					St Botolph's Church, Chevening (Geograph Image 1888106 b4cefa87).jpg	https://upload.wikimedia.org/wikipedia/commons/0/0d/St_Botolph%27s_Church%2C_Chevening_%28Geograph_Image_1888106_b4cefa87%29.jpg	
	19c	19c-braddon-biography													/19c/images/braddon family.jpg	
	19c	19c-syrett-biography													images/page1-349px-The_Yellow_Book_-_07.djvu.jpg	
	19c	19c-grossmith-biography													https://upload.wikimedia.org/wikipedia/commons/0/0d/George_Grossmith_-_English_comic_and_actor_-_Project_Gutenberg_eBook_12223.jpg	
		19c-austen-biography												Jane Austen	images/JaneAustenCassandraWatercolour.jpg	
		19c-austen-biography							David Anstiss / Front Facade of Godmersham Park					Front Facade of Godmersham Park - geograph.org.uk	https://upload.wikimedia.org/wikipedia/commons/d/da/Front_Facade_of_Godmersham_Park_-_geograph.org.uk_-_1490002.jpg	
